"Story","Title","Result","Date","Stability","Duration (s)"
"Dashboard Management","To verify that upon signing in the application user is landed on the dashboard","SUCCESS","2020-05-07T14:12:35.2406238+05:30[Asia/Calcutta]","0.0","16.86"
"Dashboard Management","verify GUI components of Work order dashboard","SUCCESS","2020-05-07T14:12:52.1033044+05:30[Asia/Calcutta]","0.0","11.05"
"Dashboard Management","To verify that upon tapping the management tile user should be redirected to the respective list","SUCCESS","2020-05-07T14:13:03.1654033+05:30[Asia/Calcutta]","0.0","36.49"
"Dashboard Management","To verify that correct count is displayed in the company tiles","SUCCESS","2020-05-07T14:14:40.1820399+05:30[Asia/Calcutta]","0.0","40.34"
"Facility Management","Create a facility and cross verify the detail entered","SUCCESS","2020-05-07T14:15:20.5235845+05:30[Asia/Calcutta]","0.0","19.92"
"Facility Management","To verify validations on add facility screen","SUCCESS","2020-05-07T14:15:40.4458499+05:30[Asia/Calcutta]","0.0","10.5"
"Facility Management","Verify the company ID displayed in add facility screen","SUCCESS","2020-05-07T14:15:50.9493826+05:30[Asia/Calcutta]","0.0","11.53"
"Facility Management","Verify that by default 'All' is selected in members assigned","SUCCESS","2020-05-07T14:16:02.4826103+05:30[Asia/Calcutta]","0.0","9.85"
"Facility Management","Edit an existing facility from facility list screen and cross verify the modification","SUCCESS","2020-05-07T14:16:12.3303562+05:30[Asia/Calcutta]","0.0","22.51"
"Facility Management","Edit an existing facility from facility detail screen and cross verify the modification","SUCCESS","2020-05-07T14:16:34.8444861+05:30[Asia/Calcutta]","0.0","18.66"
"Facility Management","Deactivate and Activate facility from facility list screen","SUCCESS","2020-05-07T14:16:53.5094515+05:30[Asia/Calcutta]","0.0","12.6"
"Facility Management","Verify that the user is able to select multiple users in ‘Members Assigned’ dropdown","SUCCESS","2020-05-07T14:17:06.1119792+05:30[Asia/Calcutta]","0.0","25.01"
"Facility Management","Filter the facility list upon selecting status","SUCCESS","2020-05-07T14:18:03.4096513+05:30[Asia/Calcutta]","0.0","37.42"
"Facility Management","User should be able to search when he enters the keyword and clicks on 'Filter' button","SUCCESS","2020-05-07T14:18:40.8321652+05:30[Asia/Calcutta]","0.0","14.64"
"Facility Management","User should be able to search when he enters the keyword and hits ‘Enter’ button on keyboard","SUCCESS","2020-05-07T14:18:55.4773136+05:30[Asia/Calcutta]","0.0","14.54"
"Unit Management","Create a unit and cross verify the detail entered","SUCCESS","2020-05-07T14:19:10.0231466+05:30[Asia/Calcutta]","0.0","17.05"
"Unit Management","To verify validations on add unit screen","SUCCESS","2020-05-07T14:19:27.0753231+05:30[Asia/Calcutta]","0.0","11.4"
"Unit Management","Edit an existing unit from facility detail screen and cross verify the modification","SUCCESS","2020-05-07T14:19:38.4761556+05:30[Asia/Calcutta]","0.0","18.16"
"Unit Management","Edit an existing unit from unit detail screen and cross verify the modification","SUCCESS","2020-05-07T14:19:56.6351021+05:30[Asia/Calcutta]","0.0","16.82"
"Unit Management","Deactivate and Activate unit from unit list screen","SUCCESS","2020-05-07T14:20:13.4533631+05:30[Asia/Calcutta]","0.0","16.63"
"Unit Management","Deactivate user from unit detail screen and cross verify the status","SUCCESS","2020-05-07T14:20:30.0825515+05:30[Asia/Calcutta]","0.0","22.28"
"Unit Management","Filter the unit list upon selecting status","SUCCESS","2020-05-07T14:20:52.3659222+05:30[Asia/Calcutta]","0.0","38.99"
"Unit Management","User should be able to search when he enters the keyword and clicks on 'Filter' button","SUCCESS","2020-05-07T14:21:31.3559323+05:30[Asia/Calcutta]","0.0","15.64"
"Unit Management","User should be able to search when he enters the keyword and hits ‘Enter’ button on keyboard","SUCCESS","2020-05-07T14:21:47.0011385+05:30[Asia/Calcutta]","0.0","16.11"
"User Management","Create a personnel and cross verify the detail entered","SUCCESS","2020-05-07T14:22:14.9649802+05:30[Asia/Calcutta]","0.0","19.52"
"User Management","To verify validations on add user screen","SUCCESS","2020-05-07T14:22:34.4815905+05:30[Asia/Calcutta]","0.0","9.45"
"User Management","Deactivate user from user list screen","SUCCESS","2020-05-07T14:23:43.3268353+05:30[Asia/Calcutta]","0.0","13.01"
"User Management","Deactivate user from user detail screen and cross verify the status","SUCCESS","2020-05-07T14:23:56.3366788+05:30[Asia/Calcutta]","0.0","22.87"
"User Management","Filter the user list upon selecting role","SUCCESS","2020-05-07T14:24:19.2122884+05:30[Asia/Calcutta]","0.0","37.3"
"User Management","Filter the user list upon selecting status","SUCCESS","2020-05-07T14:24:56.5130958+05:30[Asia/Calcutta]","0.0","37.5"
"User Management","User should be able to search when he enters the keyword and clicks on 'Filter' button","SUCCESS","2020-05-07T14:25:34.0156608+05:30[Asia/Calcutta]","0.0","14.66"
"User Management","User should be able to search when he enters the keyword and hits ‘Enter’ button on keyboard","SUCCESS","2020-05-07T14:25:48.6800082+05:30[Asia/Calcutta]","0.0","14.06"
"Login functionality for Work Order Web","User valid Login with all user roles","SUCCESS","2020-05-07T14:26:20.8965221+05:30[Asia/Calcutta]","0.0","25.32"
"Login functionality for Work Order Web","Invalid User Login","SUCCESS","2020-05-07T14:26:46.2219819+05:30[Asia/Calcutta]","0.0","3.49"
"Login functionality for Work Order Web","User Login with invalid credentials","SUCCESS","2020-05-07T14:26:49.7082257+05:30[Asia/Calcutta]","0.0","9.9"
"Vendor Management","To verify validations on add vendor screen","SUCCESS","2020-05-07T14:27:08.413605+05:30[Asia/Calcutta]","0.0","10.38"
"Vendor Management","Notes count associated with a vendor","SUCCESS","2020-05-07T14:28:21.9914991+05:30[Asia/Calcutta]","0.0","21.02"
"Vendor Management","Filter the vendor list upon selecting vendor type","SUCCESS","2020-05-07T14:28:43.0125446+05:30[Asia/Calcutta]","0.0","13.01"
"Vendor Management","User should be able to search when he enters the keyword and clicks on 'Filter' button","SUCCESS","2020-05-07T14:28:56.0260432+05:30[Asia/Calcutta]","0.0","13.78"
"Vendor Management","User should be able to search when he enters the keyword and hits ‘Enter’ button on keyboard","SUCCESS","2020-05-07T14:29:09.8060874+05:30[Asia/Calcutta]","0.0","13.29"
"Vendor Management","Integration of filter dropdown and search field","SUCCESS","2020-05-07T14:29:23.094356+05:30[Asia/Calcutta]","0.0","14.28"
"Work Order Management","User is able to report issue for in progress work order","SUCCESS","2020-05-07T14:30:50.0053804+05:30[Asia/Calcutta]","0.0","0.0"
