"Story","Title","Result","Date","Stability","Duration (s)"
"Functionality of signage application","To verify user redirects to the kiosk page","SUCCESS","2020-05-12T10:49:23.2583631+05:30[Asia/Calcutta]","0.0","36.03"
"Functionality of signage application","To verify the registration of new kiosk application","SUCCESS","2020-05-12T10:49:59.2993326+05:30[Asia/Calcutta]","0.0","23.17"
"Functionality of signage application","To verify the validations on the Register kiosk page","SUCCESS","2020-05-12T10:50:51.5308729+05:30[Asia/Calcutta]","0.0","17.01"
"Functionality of signage application","To verify the functionality of show entries dropdown in list view of manage kiosk","SUCCESS","2020-05-12T10:51:08.5454325+05:30[Asia/Calcutta]","0.0","10.89"
"Functionality of signage application","To verify the functionality of delete tag","SUCCESS","2020-05-12T10:54:49.8915148+05:30[Asia/Calcutta]","0.0","10.92"
"Functionality of signage application","To verify the Functionality of each pages","SUCCESS","2020-05-12T10:55:00.815944+05:30[Asia/Calcutta]","0.0","12.34"
"Functionality of signage application","To verify user is able to upload the  png type content from signage application","SUCCESS","2020-05-12T10:55:13.1610134+05:30[Asia/Calcutta]","0.0","27.51"
"Functionality of signage application","To verify when user clicks on the cancel button on add content field","SUCCESS","2020-05-12T10:57:42.340912+05:30[Asia/Calcutta]","0.0","18.82"
"Functionality of signage application","To verify the Validations  on the Add content page","SUCCESS","2020-05-12T10:58:01.1643271+05:30[Asia/Calcutta]","0.0","19.63"
"Functionality of signage application","To verify user is able to edit the content","SUCCESS","2020-05-12T10:58:20.7996225+05:30[Asia/Calcutta]","0.0","33.7"
"Functionality of signage application","To verify when user clicks on the cancel button of the delete popup","SUCCESS","2020-05-12T10:59:24.573596+05:30[Asia/Calcutta]","0.0","21.3"
"Functionality of signage application","To verify the functionality of enablity of  toggle button and apply changes button of signage application","SUCCESS","2020-05-12T10:59:45.8720713+05:30[Asia/Calcutta]","0.0","14.26"
