"Story","Title","Result","Date","Stability","Duration (s)"
"Work Order Management","Create a work order and cross verify the detail entered","PENDING","2020-05-07T14:29:55.4217779+05:30[Asia/Calcutta]","0.0","7.19"
"Work Order Management","To verify validations on add Work Order screen","PENDING","2020-05-07T14:30:02.6094335+05:30[Asia/Calcutta]","0.0","7.31"
"Work Order Management","Edit an existing vendor from vendor list screen and cross verify the modification","PENDING","2020-05-07T14:30:09.9246288+05:30[Asia/Calcutta]","0.0","7.66"
"Work Order Management","Edit an existing vendor from vendor detail screen and cross verify the modification","PENDING","2020-05-07T14:30:17.5818931+05:30[Asia/Calcutta]","0.0","8.14"
"Work Order Management","Adding and editing a note to the Work Order","PENDING","2020-05-07T14:30:25.7189443+05:30[Asia/Calcutta]","0.0","7.9"
"Work Order Management","Notes count associated with a work order","PENDING","2020-05-07T14:30:33.6166067+05:30[Asia/Calcutta]","0.0","8.18"
"Work Order Management","Verify that upon editing a work order field log section is getting updated","PENDING","2020-05-07T14:30:41.7970071+05:30[Asia/Calcutta]","0.0","8.21"
"Work Order Management","Verify that User is not able to edit the work order of complete status","PENDING","2020-05-07T14:30:50.0073788+05:30[Asia/Calcutta]","0.0","8.07"
"Work Order Management","Filter the work order list upon selecting priority","PENDING","2020-05-07T14:30:58.0808789+05:30[Asia/Calcutta]","0.0","30.17"
"Work Order Management","Filter the user list upon selecting facility","PENDING","2020-05-07T14:32:47.1906808+05:30[Asia/Calcutta]","0.0","76.4"
